campaign,ad,visits,landing_view,free_result_view,unlock_choice_modal_open,share_select,pay_select,any_select,unlock_granted,speed_purchases,deep_purchases,revenue_krw
hw_free_result_view,red_rose_static_01,87,0,0,0,0,0,0,0,1,0,990
hw_free_result_view,blue_flame_static_01,41,0,0,0,0,0,0,0,1,0,990
hw_share_unlock,geot_sok_c_static_01,15,0,0,0,0,0,0,0,0,0,0
hw_free_result_view,saju_written_static_01,11,0,0,0,0,0,0,0,1,0,990
hw_990_speed_decode,ambiguous_relationship_static_01,10,0,0,0,0,0,0,0,0,0,0
hw_new_creative_screening_abo_20260621,ad_2nd_dangerdohwa_01,0,0,0,0,0,0,0,0,0,0,0
hw_new_creative_screening_abo_20260621,ad_2nd_firstimpression_01,0,0,0,0,0,0,0,0,0,0,0
hw_990_core_soft,off_ad_free_hyeonwol_01,0,0,0,0,0,0,0,0,0,0,0
hw_990_core_soft,off_ad_free_blueflame_01,0,0,0,0,0,0,0,0,0,0,0
hw_990_core_soft,x_ad_990_ambiguousloop_01,0,0,0,0,0,0,0,0,0,0,0
